season,batsman,total_runs,balls_faced,strike_rate
2008,SE Marsh,616,441,139.68
2008,G Gambhir,534,379,140.9
2008,ST Jayasuriya,514,309,166.34
2008,SR Watson,472,311,151.77
2008,AC Gilchrist,436,318,137.11
2008,YK Pathan,435,243,179.01
2008,SK Raina,421,295,142.71
2008,MS Dhoni,414,310,133.55
2008,V Sehwag,406,220,184.55
2008,RG Sharma,404,273,147.99
2009,ML Hayden,572,395,144.81
2009,AC Gilchrist,495,325,152.31
2009,AB de Villiers,465,355,130.99
2009,SK Raina,434,308,140.91
2010,SR Tendulkar,618,466,132.62
2010,SK Raina,528,367,143.87
2010,M Vijay,458,292,156.85
2010,DPMD Jayawardene,445,300,148.33
2010,SS Tiwary,419,309,135.6
2010,RG Sharma,404,302,133.77
2010,NV Ojha,377,285,132.28
2010,RV Uthappa,374,218,171.56
2010,KC Sangakkara,357,257,138.91
2010,AT Rayudu,356,246,144.72
2010,V Sehwag,356,218,163.3
2011,CH Gayle,608,332,183.13
2011,SE Marsh,504,344,146.51
2011,PC Valthaty,463,338,136.98
2011,SK Raina,438,325,134.77
2011,V Sehwag,424,240,176.67
2011,MS Dhoni,392,247,158.7
2012,CH Gayle,733,456,160.75
2012,G Gambhir,590,411,143.55
2012,V Sehwag,495,307,161.24
2012,CL White,479,320,149.69
2012,SK Raina,441,325,135.69
2012,F du Plessis,398,304,130.92
2012,DJ Bravo,371,264,140.53
2012,SPD Smith,362,267,135.58
2013,CH Gayle,720,459,156.86
2013,V Kohli,639,459,139.22
2013,SK Raina,548,365,150.14
2013,SR Watson,543,380,142.89
2013,RG Sharma,538,409,131.54
2013,MS Dhoni,461,283,162.9
2013,AJ Finch,456,336,135.71
2013,KA Pollard,420,281,149.47
2013,DA Miller,418,254,164.57
2013,AB de Villiers,373,223,167.26
2014,RV Uthappa,660,479,137.79
2014,DR Smith,566,416,136.06
2014,GJ Maxwell,552,294,187.76
2014,DA Warner,528,375,140.8
2014,SK Raina,523,359,145.68
2014,V Sehwag,455,315,144.44
2014,DA Miller,446,299,149.16
2014,JP Duminy,410,305,134.43
2014,AB de Villiers,395,249,158.63
2014,LMP Simmons,394,291,135.4
2014,Yuvraj Singh,376,278,135.25
2014,MS Dhoni,371,250,148.4
2014,WP Saha,362,249,145.38
2015,DA Warner,562,359,156.55
2015,AM Rahane,540,413,130.75
2015,AB de Villiers,513,293,175.09
2015,V Kohli,505,386,130.83
2015,CH Gayle,491,333,147.45
2015,RG Sharma,482,333,144.74
2015,BB McCullum,436,280,155.71
2015,KA Pollard,419,256,163.67
2015,JP Duminy,414,315,131.43
2015,RV Uthappa,364,277,131.41
2015,DA Miller,357,267,133.71
2016,V Kohli,973,640,152.03
2016,DA Warner,848,560,151.43
2016,AB de Villiers,687,407,168.8
2016,RG Sharma,489,368,132.88
2016,Q de Kock,445,327,136.09
2016,KL Rahul,397,271,146.49
2016,RV Uthappa,394,289,136.33
2016,AJ Finch,393,299,131.44
2016,YK Pathan,361,248,145.56
2016,BB McCullum,354,262,135.11
2017,DA Warner,641,452,141.81
2017,SK Raina,442,307,143.97
2017,HM Amla,420,288,145.83
2017,KA Pollard,395,279,141.58
2017,PA Patel,395,293,134.81
2017,RA Tripathi,391,267,146.44
2017,RV Uthappa,388,235,165.11
2017,SV Samson,386,273,141.39
2017,RR Pant,366,221,165.61
2017,KD Karthik,361,259,139.38
2018,KS Williamson,735,516,142.44
2018,RR Pant,684,394,173.6
2018,KL Rahul,659,416,158.41
2018,AT Rayudu,602,402,149.75
2018,SR Watson,555,359,154.6
2018,JC Buttler,548,353,155.24
2018,V Kohli,530,381,139.11
2018,SA Yadav,512,384,133.33
2018,KD Karthik,498,337,147.77
2018,S Dhawan,497,363,136.91
2018,CA Lynn,491,377,130.24
2018,AB de Villiers,480,275,174.55
2018,MS Dhoni,455,302,150.66
2018,SK Raina,445,336,132.44
2018,SV Samson,441,320,137.81
2018,SS Iyer,411,310,132.58
2018,E Lewis,382,276,138.41
2018,CH Gayle,368,252,146.03
2018,SP Narine,357,188,189.89
2018,RV Uthappa,351,265,132.45
2019,DA Warner,692,481,143.87
2019,KL Rahul,593,438,135.39
2019,Q de Kock,529,398,132.91
2019,S Dhawan,521,384,135.68
2019,AD Russell,514,252,203.97
